Uri Identifier,Label,Notation,Parent Uri Identifier,Sort Priority,Description,Original Concept URI
e12000004,East Midlands,E12000004,,0,,http://statistics.data.gov.uk/id/statistical-geography/E12000004
e12000006,East of England,E12000006,,1,,http://statistics.data.gov.uk/id/statistical-geography/E12000006
e92000001,England,E92000001,,2,,http://statistics.data.gov.uk/id/statistical-geography/E92000001
k04000001,England and Wales,K04000001,,3,,http://statistics.data.gov.uk/id/statistical-geography/K04000001
e12000007,London,E12000007,,4,,http://statistics.data.gov.uk/id/statistical-geography/E12000007
e12000001,North East,E12000001,,5,,http://statistics.data.gov.uk/id/statistical-geography/E12000001
e12000002,North West,E12000002,,6,,http://statistics.data.gov.uk/id/statistical-geography/E12000002
e12000008,South East,E12000008,,7,,http://statistics.data.gov.uk/id/statistical-geography/E12000008
e12000009,South West,E12000009,,8,,http://statistics.data.gov.uk/id/statistical-geography/E12000009
w92000004,Wales,W92000004,,9,,http://statistics.data.gov.uk/id/statistical-geography/W92000004
e12000005,West Midlands,E12000005,,10,,http://statistics.data.gov.uk/id/statistical-geography/E12000005
e12000003,Yorkshire and The Humber,E12000003,,11,,http://statistics.data.gov.uk/id/statistical-geography/E12000003
