Uri Identifier,Label,Notation,Parent Uri Identifier,Sort Priority,Description
0,0,0,,0,
1,1,1,,1,
10,10,10,,2,
11,11,11,,3,
12,12,12,,4,
13,13,13,,5,
14,14,14,,6,
15,15,15,,7,
16,16,16,,8,
17,17,17,,9,
18,18,18,,10,
19,19,19,,11,
2,2,2,,12,
20,20,20,,13,
21,21,21,,14,
22,22,22,,15,
23,23,23,,16,
24,24,24,,17,
25,25,25,,18,
26,26,26,,19,
27,27,27,,20,
28,28,28,,21,
29,29,29,,22,
3,3,3,,23,
30,30,30,,24,
31,31,31,,25,
32,32,32,,26,
33,33,33,,27,
34,34,34,,28,
35,35,35,,29,
36,36,36,,30,
37,37,37,,31,
38,38,38,,32,
39,39,39,,33,
4,4,4,,34,
40,40,40,,35,
41,41,41,,36,
42,42,42,,37,
43,43,43,,38,
44,44,44,,39,
45,45,45,,40,
46,46,46,,41,
47,47,47,,42,
48,48,48,,43,
49,49,49,,44,
5,5,5,,45,
50,50,50,,46,
51,51,51,,47,
52,52,52,,48,
53,53,53,,49,
54,54,54,,50,
55,55,55,,51,
56,56,56,,52,
57,57,57,,53,
6,6,6,,54,
7,7,7,,55,
8,8,8,,56,
9,9,9,,57,
